steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
2000	10	21.53537631034851	-56.16540495917022	-57.74511063889358	20.5108941044098	-22.549685993465637	-90.1242802031764	nan	nan	nan	nan	nan	0	0
4000	20	42.34924817085266	-65.12935656116213	-63.577624576951294	20.74671100091182	-17.734435559944863	-89.74452600216759	nan	nan	nan	nan	nan	0	0
6000	30	63.22905158996582	-54.92934620304475	-45.91265697757184	24.99818322534947	-30.302415859541643	-106.17522549983674	nan	nan	nan	nan	nan	0	0
8000	40	84.3537666797638	-58.79986015911492	-54.757933683008545	13.82734410872565	-39.55481961255066	-78.51924704148777	nan	nan	nan	nan	nan	0	0
10000	50	105.17177438735962	-66.0200998056122	-60.20595194706574	13.834260260967422	-54.573922758197746	-95.10996625439513	-0.03325694	0.07317763	0.21309897303581238	0.32275381684303284	nan	0	1
12000	60	170.21698689460754	-54.12932250101406	-51.57504000749837	19.293431339281003	-17.603103037880988	-91.64139327923328	-2.1763437	-2.1774611	0.003911029293667525	0.0037413491937331855	2.096976246833801	1000	2001
14000	70	235.0527582168579	-41.615858486145946	-42.13884786020331	7.22264115786302	-32.67331187855538	-59.00543981228832	-3.7947426	-3.7943933	0.007022502566687763	0.007295787632465363	3.5945192313194276	2000	4001
16000	80	299.56099677085876	-39.880495441561095	-38.55739807488819	5.47791793111561	-32.54091085457928	-51.29161605559396	-4.907234	-4.910999	0.01165445236954838	0.010411162283271552	4.786274194717407	3000	6001
18000	90	363.51191234588623	-40.550339586497465	-42.32935639723047	12.400980022012314	-19.11933562605897	-53.368790133147556	-5.768589	-5.7659025	0.013349783862940967	0.014545469004660845	5.698519883155822	4000	8001
20181	101	432.45627903938293	-38.57551799090113	-31.073658114548067	14.297119628714123	-25.071148377926747	-60.36166375413252	-6.582198	-6.571069	0.31549460208043456	0.31414956899359825	6.402071623802185	5091	10182
22181	111	496.2539253234863	-29.091213513359424	-33.13655100029311	28.099505662215197	36.248636277235676	-69.50160453172649	-6.9896016	-6.98728	0.2797854943666607	0.27492878751829264	6.886629071235657	6091	12182
24050	121	556.526731967926	-41.015411117957434	-43.73966156056649	12.150422339909234	-22.5284077341713	-56.75393363218858	-7.3369856	-7.3335137	0.27102583828382193	0.2713997091446072	7.216134667396545	7025	14051
26050	131	620.0324809551239	-42.193893055902834	-46.535163107093986	30.97006140355146	30.093188227352066	-94.67777900799048	-7.8219604	-7.820711	0.02123851268552244	0.02141747744753957	7.590337076187134	8025	16051
28036	141	682.6472480297089	-28.38522009170454	-32.297753321349006	21.342393975583235	29.852122841866027	-45.012697957050456	-8.015329	-8.001525	0.21109792807139457	0.20649075519293547	8.005208883285523	9018	18037
30036	151	745.1125223636627	-34.5848341045222	-30.540366104519606	15.583481023121452	-19.651364308072143	-72.1729647975755	-8.518728	-8.509619	0.3673454486951232	0.3667128599435091	8.24393485546112	10018	20037
32036	161	807.0075109004974	-29.99530307081697	-34.96511271094904	25.79464506400998	36.99737973167721	-50.251008692236425	-8.846264	-8.852508	0.028068803884088993	0.02600194406695664	8.632632966041564	11018	22037
34036	171	870.5264172554016	-36.0172626932151	-28.050385577571998	14.706802335805172	-21.679778663920448	-65.80318343581531	-9.388398	-9.380179	0.15219423638656734	0.15718002629466354	8.895004868507385	12018	24037
36036	181	933.947497844696	-33.45262423749718	-41.638351620989226	26.1592156275507	30.48268878426165	-57.102284390004804	-9.600418	-9.609798	0.031582127986475826	0.029182296749204396	9.150998277664184	13018	26037
38001	191	996.0664467811584	-35.88532166774329	-36.173886560978715	11.449632834395462	-13.542984364368472	-51.39717940948742	-9.403999	-9.403513	0.12428373116999865	0.1196794931218028	9.464399528503417	14001	28002
40001	201	1058.9876782894135	-41.16926871751808	-40.50429607720834	14.460304134357589	-19.820003042622055	-61.323401046117276	-9.596306	-9.616588	0.39282403225079177	0.39978180165402594	9.383625106811524	15001	30002
42001	211	1120.2768120765686	-34.410345174102794	-35.90022330498459	9.178589282070373	-20.065618790612348	-50.59307656408342	-9.9422655	-9.964789	0.11486152099445462	0.1102419901639223	9.929959487915038	16001	32002
44197	222	1167.7147760391235	-33.643120788914835	-34.421203560914435	8.762596968581853	-20.470434396013868	-44.43091621353798	-10.06467	-10.061726	0.13089244151487947	0.12937127321958541	10.236464099884033	17099	34198
46197	232	1230.324579000473	-38.101742411218325	-34.196631448381396	10.798777547357757	-25.23990903643958	-55.29893459195624	-10.786881	-10.784029	0.3303922104090452	0.3264254802837968	10.442321157455444	18099	36198
48077	242	1290.1287744045258	-34.44642338868343	-32.73622529452513	12.616628988564736	-17.813707098546487	-56.62205642672274	-10.593739	-10.607232	0.42598774455487726	0.4210496632009745	10.530934362411498	19039	38078
50099	253	1353.5729467868805	-28.048569415901135	-34.24264971091067	25.633519697759052	37.05422941518768	-51.19277328392891	-10.773771	-10.771596	0.12542484348639846	0.11401606570929289	10.591769304275513	20050	40100
52188	264	1419.5279293060303	-41.09180286735471	-38.04464399210207	17.4425360374706	-20.43134896450752	-72.00649193995714	-10.720567	-10.717966	0.5858339808695018	0.5851903868094087	10.628278512954711	21094	42189
54188	274	1482.5718567371368	-43.69711477245329	-41.36458186674814	14.216313126393391	-21.18849822980021	-65.27464167565648	-10.958915	-10.964285	1.0359677182883025	1.0269370018318296	10.479246435165406	22094	44189
56067	284	1542.899184703827	-38.2424590569246	-37.50693813454805	14.8825012330332	-19.30064004917025	-60.717593275919505	-11.434916	-11.429623	0.29493432350456716	0.2970284550637007	10.881626138687134	23034	46068
58093	295	1606.9714376926422	-36.556227678854	-36.02961699592657	14.685084268284221	-20.917695215319146	-67.23635078763738	-11.019302	-11.016756	0.6329087429866195	0.6413532253354788	10.959291334152221	24047	48094
60054	305	1668.540223121643	-31.893531448793695	-31.40102035660961	9.175652401029575	-14.27696777344261	-45.33800799815324	-11.24625	-11.256236	0.5621087636053562	0.5652038685232401	10.950854015350341	25027	50055
62125	316	1732.4712166786194	-23.288194336549488	-26.864964125689376	22.885753738498195	34.551942799901326	-52.77895975896852	-10.98915	-10.972447	0.779644021242857	0.7909198532998561	11.144945917129517	26063	52126
64042	326	1792.4176063537598	-36.48867196031714	-36.07911639215871	9.593857207777823	-21.01211900441612	-52.67853161219831	-11.650107	-11.641368	0.2894558434933424	0.2893070012331009	11.115869846343994	27021	54043
66042	336	1854.4761743545532	-26.631928094995885	-35.207747766772286	22.257818143853193	34.6299991657227	-38.96485111896378	-10.94436	-10.94967	0.30679374404251575	0.29659959744662046	11.050344791412353	28021	56043
