steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
2000	10	14.704370737075806	10.4616370375189	20.110346126462648	28.584722687390947	42.56143681061731	-45.66827206763305	nan	nan	nan	nan	nan	0	0
4066	21	30.1455557346344	9.703801172122628	22.55209547424173	28.19799214008785	35.43890271860735	-32.0435586714637	nan	nan	nan	nan	nan	0	0
6066	31	44.24534296989441	9.479736292500997	18.976902776951782	29.51778107526361	39.87471843775215	-47.08359884762328	nan	nan	nan	nan	nan	0	0
8066	41	56.292192459106445	33.057264311123596	31.033359187594716	6.64319666781231	45.63562191025299	24.095830065061758	nan	nan	nan	nan	nan	0	0
10020	51	70.46322989463806	25.0904685565474	27.810630018587837	15.843687119947774	40.79074638360376	-15.055693109320503	4.5850215	4.611242	0.30426129698753357	0.2852170715729396	-5.383254957199097	10	21
12113	64	104.169997215271	1.8653012459951939	17.227800538298666	34.677056193897826	39.91354884033447	-47.486622854194415	8.393985	8.393476	0.18141941126435995	0.18969606056809427	-8.552257571220398	1057	2114
14165	77	136.60067200660706	0.3428648366205366	0.5407061434468057	28.12519743302123	33.73110262110083	-43.52646037358318	9.757206	9.7489195	0.2313993724808097	0.23678376369178294	-10.281826391220093	2083	4166
16107	89	168.69420790672302	-6.494180254137707	-22.92893792512845	31.892726221539323	35.9202757322934	-41.488918650501006	11.791464	11.77778	0.3965041375532746	0.4040452320128679	-12.30266357421875	3054	6108
18167	101	200.97669529914856	-19.2496220290053	-35.92128611138426	31.88084862190936	41.3773341496358	-48.56123447586009	12.649129	12.632149	0.41444286070764064	0.40274368584156034	-12.683458452224732	4084	8168
20155	113	235.21900343894958	-18.631247469748438	-28.100968534830237	27.934428773439876	32.12800253590727	-47.494957154104874	12.189566	12.207608	0.46011374682188033	0.4440464573353529	-12.66662407875061	5078	10156
22153	124	266.7084767818451	-5.020619843306796	-11.286866541169188	21.620117226607984	22.33991769744255	-31.516722803448385	12.019652	11.991713	0.6392286314815283	0.6529277437925338	-12.379717025756836	6077	12154
24151	135	298.36536502838135	-6.973384863737646	-14.75459884282824	27.95476864918234	42.78052209232783	-49.48234618971347	11.858545	11.831671	0.6718519273400306	0.6680201181769371	-12.181845302581786	7076	14152
26042	147	329.38313150405884	-11.4178272251176	-24.69688323792896	33.3819927671785	40.08447258272222	-48.19176948111643	12.0180025	11.994591	1.142133693099022	1.133360875695944	-11.649207367897034	8021	16043
28083	159	361.2324936389923	-11.027426372139852	-20.58116323721688	25.73003149700215	37.79610664392935	-35.608556726789026	10.639184	10.624582	0.5378620348125697	0.5480165374279022	-11.290235328674317	9042	18084
30025	173	391.5890769958496	-5.458367485767027	-7.7543873644089985	24.012236510785343	30.248417347391516	-30.869029841352614	11.47462	11.448261	0.8527690377086401	0.8430361688882112	-11.400323882102967	10013	20026
32124	187	422.8977961540222	10.562483875396556	17.28207035302852	22.93521605387022	46.15656693066499	-32.4967947681476	10.310692	10.32852	0.9742334574460983	0.9668451409041882	-10.770281825065613	11062	22125
34059	199	452.92867612838745	18.348988963695014	27.1771632264305	24.37092799007051	44.09686865921478	-29.705674342130074	9.852146	9.848953	1.22537471704185	1.1969644998013973	-10.143580713272094	12030	24060
36122	212	483.4989047050476	13.945435893256777	14.141023288534786	30.69875310975939	45.694162024944156	-38.682880023159	10.514499	10.52269	1.473707318454981	1.4743792907893658	-9.824912505149841	13061	26123
38056	227	514.5504813194275	9.708243167979408	12.93946605238907	25.430386877927315	45.96012761398553	-22.482022378783807	9.292611	9.2751465	0.9865832082927227	0.9468216397613287	-9.07359766960144	14028	28057
40102	241	546.0707097053528	18.41039658180847	24.7019224676901	23.15531794018227	43.17300801652773	-30.48800731609844	8.736164	8.791904	1.066278616860509	1.063083250001073	-9.115951323509217	15051	30103
42003	254	574.6418349742889	17.277613564720408	27.08040885110913	23.48081616998758	41.35356452980839	-21.089162362792475	9.861581	9.859237	0.9149245582520962	0.9256141723692417	-8.600559501647949	16002	32004
44031	268	604.676607131958	13.114517480078536	23.593536994092563	29.32526561371766	43.181220799910434	-35.37034537755971	8.863602	8.911647	1.1702189517766237	1.1339298834651708	-8.607866048812866	17016	34032
46099	282	637.2598130702972	2.332015474113175	14.95853553740315	27.990528639578955	36.02097377946919	-30.794402305875614	8.007806	8.014065	1.0221327821910382	0.9932037311047316	-8.646596269607544	18050	36100
48012	294	667.8356127738953	30.229124708179135	33.68069315284403	13.13284463028408	45.31996528606444	4.039544604881428	9.175552	9.222738	1.3325034908950328	1.3223992381989955	-8.406326026916505	19006	38013
50071	309	699.519270658493	11.27770921807418	22.064473528978137	32.216866702415565	42.24496332482235	-50.661573941974005	8.052577	8.044056	0.958074412047863	0.9973797392845154	-8.301481490135194	20036	40072
52009	324	728.6076560020447	9.738562359862984	22.68482457497103	26.32439256576953	38.05461252873228	-32.29656452909471	8.127058	8.148898	1.1700787784159183	1.1446615652740002	-8.223193321228027	21005	42010
54121	339	759.9418063163757	4.019441747892556	5.511444909921925	32.706497882974745	39.385121561549056	-49.278014318807706	8.113682	8.119191	0.8498610044270754	0.8567630979418754	-8.283963069915771	22061	44122
56071	354	789.8126473426819	7.715133138764653	24.702281878527188	30.95608589215605	38.95233947164829	-43.24354084886405	7.5463934	7.524129	1.4296298299729824	1.4212623603641987	-8.147327358722686	23036	46072
58120	370	819.9478144645691	7.515172774149482	10.587164050878034	19.789918441135747	30.255242087180083	-25.986590927781098	7.562002	7.603728	1.1352824455499648	1.0568735986202955	-8.103223328590394	24060	48121
60029	383	849.6180474758148	-1.5604337542623257	0.48586344706285445	31.09389168282639	38.483280769235925	-52.50655314893694	6.6131124	6.5785694	1.3105520197749139	1.3151089344918727	-8.320183706283569	25015	50030
62122	397	881.4830920696259	15.05027972432154	25.505819122730053	28.94594496858336	44.72643125401652	-30.48581675808078	8.713218	8.738207	1.3967966291308402	1.4355241623520851	-8.065951120853423	26061	52123
64076	410	910.3945100307465	24.481656683390874	28.5504709573501	18.367056758427896	45.38244760756215	-14.939382354345454	7.858908	7.854375	0.9844813737273216	0.9306767003238201	-8.063884267807007	27038	54077
66048	424	941.0600121021271	5.889293909304273	25.873963498258895	32.87990115088641	36.567828274743825	-45.53860280803748	8.292571	8.278965	0.9697659251093864	0.9508454141020775	-8.086483011245727	28024	56049
68057	439	972.6993615627289	11.448073967262424	23.662373716543712	25.916145634523417	33.510396841013886	-34.567569225078124	7.9138994	7.8802557	1.2289480842649936	1.1819642579555512	-8.27663043498993	29029	58058
70179	454	1006.0394957065582	15.484037823043893	28.07429938197899	27.010261475054325	40.296939118277606	-28.577198952672862	7.4707804	7.4740605	0.8414139811694622	0.817237233966589	-8.166030015945434	30090	60180
72022	468	1034.363424539566	11.265710479718031	25.34103621292573	27.00852532834791	37.952589977224974	-37.731095671737094	7.715124	7.6746273	1.1632316683232784	1.1341037197411061	-8.41873902797699	31011	62023
74003	487	1064.1067235469818	4.681639374199882	8.649230471014597	25.253189349919225	36.640255954384315	-34.649682446115655	8.299318	8.32877	1.2007635293900967	1.2092908827960491	-8.670401430130005	32002	64004
